content,created_at,author,reference,embeds,mentions,id,attachments
I suggest develop a quick hepta app for journal frist，so we can have a method to upload some quick note to the database first. The other features can develop later.,2022-09-06 11:25:53.573000+00:00,ctcabc,,[],[],1016670573604130896,[]
"希望白板有更多自定义的选择：
如连接卡片的线，能只定义颜色、箭头形状、粗细、类型（实线、虚线）。
当前的线只能单向指向，希望可以添加双向、和无建头，由用户自选使用。

不同的线能反映信息连接间的关系：强弱、类型、领域。可以自定义编辑，就能指定自己的规则，使白板更加有效地被使用起来。",2022-09-05 09:44:57.462000+00:00,SIN,,[],[],1016282784567930952,[<Attachment id=1016282784018473001 filename='unknown.png' url='https://cdn.discordapp.com/attachments/856016076311101470/1016282784018473001/unknown.png'>]
"Here's a few example of what that tool Mural offers in terms of 'visuality' for a whiteboard.

Of course, Hepta is a different tool aimed for different goals, this is only to quickly demonstrate how we could visually enhance our whiteboards with adding this kind of options.",2022-09-04 17:28:11.237000+00:00,jagar,<MessageReference message_id=1016033012674203718 channel_id=856016076311101470 guild_id=812292969183969301>,[],[],1016036972243984415,"[<Attachment id=1016036968322318426 filename='MURAL_-_Org_Chart.webp' url='https://cdn.discordapp.com/attachments/856016076311101470/1016036968322318426/MURAL_-_Org_Chart.webp'>, <Attachment id=1016036968578158662 filename='MURAL_-_Meeting_Notes.jpg' url='https://cdn.discordapp.com/attachments/856016076311101470/1016036968578158662/MURAL_-_Meeting_Notes.jpg'>, <Attachment id=1016036968850804876 filename='MURAL_-_Stodyboard.jpeg' url='https://cdn.discordapp.com/attachments/856016076311101470/1016036968850804876/MURAL_-_Stodyboard.jpeg'>, <Attachment id=1016036969156984892 filename='MURAL_-_Meeting._Pre-Work.jpg' url='https://cdn.discordapp.com/attachments/856016076311101470/1016036969156984892/MURAL_-_Meeting._Pre-Work.jpg'>]"
"We would have a much greater series of options to visually customize our whiteboards because currently we cannot easily make the text bigger or smaller (and in different formats) as per our needs.

Same with the images, but less, since you can scale the card that shows an image.",2022-09-04 17:12:27.202000+00:00,jagar,<MessageReference message_id=1016031823995883641 channel_id=856016076311101470 guild_id=812292969183969301>,[],[],1016033012674203718,[]
"Hi, wanted to share an opinion and ask about the ""visuality options"" of Hepta.

We currently have:
- Actual text inside cards (with integrated interoperability, backlinks…)
- Cards (which are visual containers of the interoperable text, with some meta-info)
- Arrows (mere visual artifacts, they have no connection with the interop. text)

I wanted to share a tool called Mural (https://mural.co/), **focusing on what it offers as visual aspects**. Maybe the dev team already knows about it, or maybe not.


What would be nice to have in Hepta is *more options for visual variety*.

Examples:
- Possibility to add **Pure Images**
- Possibility to give **Different Skins** to the card
- Possibility for more **Text Formatting**

Just thinking about it, a different ""Skin"" for a card could be: pure image. So, if the dev teams for some reason don't think it's the best to add pure images, we could have a Card but *skinned* as pure image. You click on it and it opens the fully detailed card as it happens now. One can decide to only have image(s) in it (and choose which one is to be the cover) and let it view as pure image on the board, or choose to see it as normal card. A card could be added multiple times on a WB, but with different skins.

Another Skin could be: *Sticky Note*, very commonly used by many people. Still a full card when you click on it, but visually a sticky note on the WB.

Another useful visual possibility would be to be able to add *plain text on the whiteboard*, not inside a card.

We could also have a **Pure Text** Skin for a card (or maybe not, that's the devs' decision) and have the possibility to format it, examples: greater font size, different text color, whatever.

With just these 2 additions (**Pure Images**, and **Pure Text**), we would have a much greater series of options to visually customize our whiteboards, which can be really important for easiness of managing them, easiness of recalling information, and just more visual appeal of the WBs.",2022-09-04 17:07:43.799000+00:00,jagar,,[],[],1016031823995883641,[]
希望 import cards 中在篩選 filters 時，menu 中可以提供搜尋選項，要不然我的 tags / maps 都太多了，難以快速定位 cards,2022-09-04 06:33:03.060000+00:00,水球潘,,[],[],1015872101799960607,[<Attachment id=1015872101141446736 filename='unknown.png' url='https://cdn.discordapp.com/attachments/856016076311101470/1015872101141446736/unknown.png'>]
"Suggestions

1. Calendar System
Thank you all for all the hardwork, I would also like to request. As my job requires me to work with dates a lot. If it will be possible, not only to have access to only the current date but to be able to choose from previous dates and future dates, because some situations require you to use dates that is not necessarily today. I think some sort of built in calendar system to view your work by calendar when you mark the date (Not the Journal feature, but in the whiteboard and card sessions too) similar to remnote 

2. To Dos
For ToDos, if we can mark due date, time, reminders etc can be helpful

3. Interface
I do like the interface of arranging by whiteboards, but overtime, it can look a bit displeasing to the eyes, so if there is a way to maybe beautify the interfaces a little more? especially the map session, maybe with images or gallery view / other views etc

4. Being able to pin important notes on the working tabs session
If we can pin the important notes, and whiteboards, that will be game changing.

5. Highlights
If we can be able to change the different highlight colors.

Thank you so much for all the hardwork, Heptabase, is truly the future. <@779015270311395370>",2022-09-03 14:49:27.860000+00:00,Richy,,[],[<User id=779015270311395370 name='Alan Chan' discriminator='3179' bot=False>],1015634640440152085,[]
"It would be great if the different levels of ordered list would have different options, like 1. and then a. then i., like in Notion. Now there are only numbered lists or bullet points.",2022-09-02 02:10:55.201000+00:00,chenyc0609,,[],[],1015081358646837351,[]
You already can do the same in a Journal.  Whiteboard is the only view where you cannot do this.,2022-09-01 14:46:36.285000+00:00,Sharknader,,[],[],1014909145071231056,[]
"It would be great if you could open **multiple** cards in the sidebar of a whiteboard; same way as you can do with tabs. See example below. I usually have to reference multiple notes in a whiteboard, but I still want to be able to stay in the whiteboard to work and process items.",2022-09-01 14:43:18.352000+00:00,Sharknader,,[],[],1014908314880053388,[<Attachment id=1014908313852461177 filename='unknown.png' url='https://cdn.discordapp.com/attachments/856016076311101470/1014908313852461177/unknown.png'>]
Heptabase keyboard shortcuts: https://pse.is/3vbcpe,2022-08-31 21:45:59.165000+00:00,Carl-bot,,[<discord.embeds.Embed object at 0x28f955040>],[],1014652297973862482,[]
"It would be great if `--` corresponded to *en dashes* (–) rather than *em dashes* (—) and then `---` corresponded to *em dashes*. I don't use many programs that auto-convert dashes, but the ones I have used follow the convention above (two dashes = en, three dashes = em).

If this detection is done within a block, then there shouldn't be a conflict with the horizontal rule shortcut.",2022-08-31 21:45:59.046000+00:00,robotic_scarab,,[],[],1014652297474744330,[]
Thanks for this workaround,2022-08-31 08:16:54.595000+00:00,haolee,<MessageReference message_id=1014447910773063740 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=869402496576159794 name='YZ' discriminator='9821' bot=False>],1014448687289741352,[]
Got it. I’d suggest to select the pasted text and press CMD+e afterwards for now. So far we don’t detect inline code.,2022-08-31 08:13:49.459000+00:00,YZ,<MessageReference message_id=1014444432998801449 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=755428538844184738 name='haolee' discriminator='3562' bot=False>],1014447910773063740,[]
Copy plain text from sublime and then press `Cmd+E` in hepta and then paste the text. The text is pasted as plain text instead of inline code.,2022-08-31 08:00:00.293000+00:00,haolee,<MessageReference message_id=1014439550006857788 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=869402496576159794 name='YZ' discriminator='9821' bot=False>],1014444432998801449,[]
Where do you paste the code from? Is the source have inline code format?,2022-08-31 07:40:36.097000+00:00,YZ,<MessageReference message_id=1014431853568086077 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=755428538844184738 name='haolee' discriminator='3562' bot=False>],1014439550006857788,[]
But this doesn't work if I paste code instead of typing it manually.,2022-08-31 07:10:01.123000+00:00,haolee,<MessageReference message_id=1014426937684402238 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=779015270311395370 name='Alan Chan' discriminator='3179' bot=False>],1014431853568086077,[]
Great!,2022-08-31 06:53:04.851000+00:00,haolee,,[],[],1014427591014371348,[]
You can use Cmd + E to insert inline code,2022-08-31 06:50:29.085000+00:00,Alan Chan,<MessageReference message_id=1014423576243343411 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=755428538844184738 name='haolee' discriminator='3562' bot=False>],1014426937684402238,[]
"<@779015270311395370> Hi, is it possible to insert inline code using `/` command",2022-08-31 06:37:07.655000+00:00,haolee,,[],[<User id=779015270311395370 name='Alan Chan' discriminator='3179' bot=False>],1014423576243343411,[]
"Well, that's great then

Hope you guys think it'd be worth of implementing it",2022-08-30 15:00:40.992000+00:00,jagar,,[],[],1014187912297984050,[]
Yes,2022-08-30 15:00:07.463000+00:00,Alan Chan,<MessageReference message_id=1014185913124917319 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=809212708783390761 name='jagar' discriminator='2999' bot=False>],1014187771667173417,[]
"I'm not accustomed to that, do you know if it allows to have any kind of image as custom emoji?",2022-08-30 14:52:44.352000+00:00,jagar,<MessageReference message_id=1014185751463858207 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=779015270311395370 name='Alan Chan' discriminator='3179' bot=False>],1014185913124917319,[]
How about allowing adding custom emoji like Notion?,2022-08-30 14:52:05.809000+00:00,Alan Chan,<MessageReference message_id=1014182745427157134 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=809212708783390761 name='jagar' discriminator='2999' bot=False>],1014185751463858207,[]
"as mentioned, if you have sometimes used emojies into the titles
(they are quite handy most of the times to add easiness of reading + quickness, as well in finding some info among many cards)

So, to extend the possibilities, in addiion to emojis, users could add images into the title. It would be the user 'responsibility' to add a meaningful image, because it will probably be rendered very small, but if you add a small icon for instance, that should be rendered fine.",2022-08-30 14:40:09.114000+00:00,jagar,<MessageReference message_id=1014182164805464205 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=779015270311395370 name='Alan Chan' discriminator='3179' bot=False>],1014182745427157134,[]
Currently we don't have plans for that yet. What's the use case?,2022-08-30 14:37:50.683000+00:00,Alan Chan,<MessageReference message_id=1014176801699921920 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=809212708783390761 name='jagar' discriminator='2999' bot=False>],1014182164805464205,[]
"Hi, do you plan to add images to be displayed right into the title of a card?

Yes, it will be rendered very small, but it can be used like favicons are use in website tabs.
Especially when an emoji cannot be suffice.",2022-08-30 14:16:32.019000+00:00,jagar,,[],[],1014176801699921920,[]
i really like this feature like calendar in mac or google calendar i can assign my daily todo or jornal in calendar and can plan in a day week month and i wish the calendar will  can connect with google calendar will very cool,2022-08-28 13:30:59.055000+00:00,aran,<MessageReference message_id=1012109506861355128 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=582763452851027968 name='Sharknader' discriminator='9068' bot=False>],1013440563086893066,"[<Attachment id=1013440558980681839 filename='Screen_Shot_2565-08-28_at_20.29.13.png' url='https://cdn.discordapp.com/attachments/856016076311101470/1013440558980681839/Screen_Shot_2565-08-28_at_20.29.13.png'>, <Attachment id=1013440561774080010 filename='Screen_Shot_2565-08-28_at_20.29.33.png' url='https://cdn.discordapp.com/attachments/856016076311101470/1013440561774080010/Screen_Shot_2565-08-28_at_20.29.33.png'>]"
轉存,2022-08-28 02:40:42.972000+00:00,Alan Chan,<MessageReference message_id=None channel_id=1013136426805768285 guild_id=812292969183969301>,[],[],1013276917773910090,[]
Markdown依赖本地图片，这个能支持转存的功能吗，否则没法实现多端同步。,2022-08-27 17:22:27.315000+00:00,cristinzhang,,[],[],1013136426805768285,[]
我們目標八月底/九月初先完成即時同步，接著會再來處理這類體驗細節,2022-08-27 06:33:57.692000+00:00,Alan Chan,<MessageReference message_id=1012956037441142806 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=338198253952696321 name='水球潘' discriminator='3989' bot=False>],1012973228018376745,[]
這一條 connection 上的文字能否顯示成橫的？ 直的不太好看,2022-08-27 05:25:39.139000+00:00,水球潘,,[],[],1012956037441142806,[<Attachment id=1012956036195438702 filename='unknown.png' url='https://cdn.discordapp.com/attachments/856016076311101470/1012956036195438702/unknown.png'>]
<@779015270311395370> Handwriting recognition in cards would be awesome as well. I use a tool called Nebo to take handwritten notes and convert them to text. That way you get the benefit of physically writing your thoughts and being able to manipulate it digitally. Here is a link to MyScipt’s product integration page https://www.myscript.com,2022-08-26 11:53:48.191000+00:00,Bodacious,,[<discord.embeds.Embed object at 0x28f9550d0>],[<User id=779015270311395370 name='Alan Chan' discriminator='3179' bot=False>],1012691330939502704,[]
Checkout our roadmap here: https://pse.is/42yywl,2022-08-25 14:33:56.578000+00:00,Carl-bot,,[<discord.embeds.Embed object at 0x28f955160>],[],1012369243569918073,[]
I know there have been a lot of requests for a Readwise Integration with Heptabase but I noticed it’s not on the (public) roadmap. Are there any plans for this?,2022-08-25 14:33:56.397000+00:00,Bodacious,,[],[],1012369242810761246,[]
something like hepta combined with drawIO,2022-08-25 14:28:59.739000+00:00,jiushi猪,<MessageReference message_id=1012364117459341452 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=193252114045075456 name='h0mebas3' discriminator='6229' bot=False>],1012367998536925205,[]
networking engineer too。some kinds of this feature i have posted。,2022-08-25 14:27:32.553000+00:00,jiushi猪,<MessageReference message_id=1012364117459341452 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=193252114045075456 name='h0mebas3' discriminator='6229' bot=False>],1012367632852340736,[]
"Yes sir. I've started using Heptabase for all my network maps and thoughts about them. If Alan can add this feature, it will be perfect.",2022-08-25 14:13:34.418000+00:00,h0mebas3,<MessageReference message_id=1012360305008975912 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=972179846463635540 name='jiushi猪' discriminator='7290' bot=False>],1012364117459341452,[]
networking engineer,2022-08-25 13:58:25.459000+00:00,jiushi猪,<MessageReference message_id=1012356709165043783 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=193252114045075456 name='h0mebas3' discriminator='6229' bot=False>],1012360305008975912,[]
Hello Alan 🙂 Yes something like this please. Being able to make a text note at each end of the connection.,2022-08-25 13:44:08.143000+00:00,h0mebas3,<MessageReference message_id=1012203579198685234 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=779015270311395370 name='Alan Chan' discriminator='3179' bot=False>],1012356709165043783,[<Attachment id=1012356708443619438 filename='unknown.png' url='https://cdn.discordapp.com/attachments/856016076311101470/1012356708443619438/unknown.png'>]
The usual Ctrl+Shift+V works,2022-08-25 10:16:03.976000+00:00,my216,<MessageReference message_id=1012264105987543112 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=338198253952696321 name='水球潘' discriminator='3989' bot=False>],1012304346773475358,[]
"Ah never mind, just find out closing a tab will not delete map 😂",2022-08-25 08:15:38.083000+00:00,liquidT,<MessageReference message_id=1012272626917457950 channel_id=856016076311101470 guild_id=812292969183969301>,[],[],1012274039181553676,[]
"Hello, may I know is there have ability to archive a Working Tabs? Some tabs I may not needed for now but would like to hide in side menu (without delete it).",2022-08-25 08:10:01.373000+00:00,liquidT,,[],[],1012272626917457950,[]
"Sorry, does Heptabase support ""paste without formatting""?  
Can anyone tell me what's the keyboard short cut for that? Thanks.",2022-08-25 07:36:09.825000+00:00,水球潘,,[],[],1012264105987543112,[]
Do you have an example screenshot?,2022-08-25 03:35:39.114000+00:00,Alan Chan,<MessageReference message_id=1012188062895308871 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=193252114045075456 name='h0mebas3' discriminator='6229' bot=False>],1012203579198685234,[]
"I use Heptabase for network maps. When you create connection between to boxes, could you add the ability to put a description on each end of the connection as well.",2022-08-25 02:33:59.739000+00:00,h0mebas3,,[],[],1012188062895308871,[]
"I wish I could assign colors to tags and then when a tag is applied to a card, the card background then shows that color (maybe for the first tag applied). Similar to how Outlook calendar handles tags. Maybe it would be possible with custom themes down the road?",2022-08-24 21:21:50.521000+00:00,Sharknader,,[],[],1012109506861355128,[<Attachment id=1012109506181861427 filename='unknown.png' url='https://cdn.discordapp.com/attachments/856016076311101470/1012109506181861427/unknown.png'>]
"It would be helpful to also be able to bring up the right sidebar that looks just like the one in a whiteboard when in the tab view, and be able to select cards to open as additional tabs. Ctrl+O search is helpful, but if you've collected a bunch of tagged cards in a whiteboard that you want to explore next to the note that you are writing, it would help to stay in the flow.",2022-08-24 15:44:57.290000+00:00,Sharknader,<MessageReference message_id=1012000573681303614 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=779015270311395370 name='Alan Chan' discriminator='3179' bot=False>],1012024726425710592,[]
"Oh, didn't occur to me I'd be able to add it from the search like that! 😮  Thanks.",2022-08-24 14:54:25.676000+00:00,my216,<MessageReference message_id=1012000573681303614 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=779015270311395370 name='Alan Chan' discriminator='3179' bot=False>],1012012010914984086,[]
Gotcha. Try Cmd +O to find a card and Shift + Enter to add it to the right pane.,2022-08-24 14:08:58.827000+00:00,Alan Chan,<MessageReference message_id=1011995693763809321 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=701362327462739998 name='my216' discriminator='4896' bot=False>],1012000573681303614,[]
"I know who can pre-select cards and open them all in like a grouped tab, but then you may suddenly think of another card you want, but there is no way of getting it then without starting again.",2022-08-24 13:53:22.263000+00:00,my216,,[],[],1011996645447192626,[]
"Sorry I meant a tabbed card, if that's the terminology. When it has been expanded and is in the tab list.",2022-08-24 13:49:35.364000+00:00,my216,,[],[],1011995693763809321,[]
What do you mean “when a tagged card is open”?,2022-08-24 13:47:11.900000+00:00,Alan Chan,<MessageReference message_id=1011994780105986088 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=701362327462739998 name='my216' discriminator='4896' bot=False>],1011995092032159824,[]
It would be useful to be able to have the card library available in the right split when a tagged card is open. And to then be able to open a card from the library in the right split.,2022-08-24 13:45:57.531000+00:00,my216,,[],[],1011994780105986088,[]
I can't replicate it now. Possible my finger was going to Ctrl rather than Alt every time!,2022-08-24 13:39:38.830000+00:00,my216,<MessageReference message_id=1011990808326578216 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=779015270311395370 name='Alan Chan' discriminator='3179' bot=False>],1011993191718850671,[]
Can you do a screencast?,2022-08-24 13:30:10.585000+00:00,Alan Chan,<MessageReference message_id=1011990547382145044 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=701362327462739998 name='my216' discriminator='4896' bot=False>],1011990808326578216,[]
Hmmm .. I tried that but doesn't work for me. Will try again,2022-08-24 13:29:08.371000+00:00,my216,,[],[],1011990547382145044,[]
You can click alt key when dragging.,2022-08-24 13:28:47.069000+00:00,Alan Chan,<MessageReference message_id=1011990327671930920 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=701362327462739998 name='my216' discriminator='4896' bot=False>],1011990458035085312,[]
"I may have missed something, but is it possible to not remove blocks from a card when dragging them to another card? i.e an option to copy by dragging (could be done with ctrl maybe same as dragging a file in Windows changes move/copy behaviour?). Card content may be relevant to multiple subsequent documents, so I want to retain it not remove it. Thanks.",2022-08-24 13:28:15.988000+00:00,my216,,[],[],1011990327671930920,[]
GDPR,2022-08-24 11:21:54.063000+00:00,Alan Chan,<MessageReference message_id=None channel_id=1011955013553246302 guild_id=812292969183969301>,[],[],1011958526773575692,[]
Ok. And do you follow the EU regulation about data privacy with data hosted in US for EU citizens ?,2022-08-24 11:07:56.446000+00:00,Krysbe,<MessageReference message_id=1011910140770910260 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=779015270311395370 name='Alan Chan' discriminator='3179' bot=False>],1011955013553246302,[]
Because we’re a US company and the majority of our user base are in the US.,2022-08-24 08:09:37.941000+00:00,Alan Chan,<MessageReference message_id=1011906567098089512 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=706926945589395497 name='Krysbe' discriminator='2518' bot=False>],1011910140770910260,[]
Why not in a region with better privacy laws ? Like EU or Switzerland ?,2022-08-24 07:55:25.911000+00:00,Krysbe,<MessageReference message_id=1011539741805645894 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=779015270311395370 name='Alan Chan' discriminator='3179' bot=False>],1011906567098089512,[]
Thanks for the feedback! We’ve been thinking about it.,2022-08-24 02:26:34.707000+00:00,Alan Chan,<MessageReference message_id=1011693236022157343 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=582763452851027968 name='Sharknader' discriminator='9068' bot=False>],1011823808430211122,[]
"Can there be a card preview when adding a link to a card (similar to how card previews show when searching via Ctrl+O and Ctrl+P)? 

It would also be great to be able to copy a link to a card from the card itself (as opposed to relying on search)",2022-08-23 17:47:43.819000+00:00,Sharknader,,[],[],1011693236022157343,[<Attachment id=1011693235095212032 filename='unknown.png' url='https://cdn.discordapp.com/attachments/856016076311101470/1011693235095212032/unknown.png'>]
"At the moment, I can’t stay local on two different machines working on different projects. Each project and machine would need its own Hepta license.",2022-08-23 16:48:16.530000+00:00,enozero,<MessageReference message_id=1011537633341612072 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=779015270311395370 name='Alan Chan' discriminator='3179' bot=False>],1011678273727627264,[]
"Yes, if I can have control over whether a workspace is local vs cloud sync’d, that would be ideal. I just can’t enable cloud sync now since I can’t let the information off my local machine nor the company network.",2022-08-23 16:47:23.059000+00:00,enozero,<MessageReference message_id=1011538016835219456 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=779015270311395370 name='Alan Chan' discriminator='3179' bot=False>],1011678049454010448,[]
[Reply to an old message.] I also think this is a very helpful feature.,2022-08-23 09:44:35.201000+00:00,haolee,<MessageReference message_id=983949608432578581 channel_id=856016076311101470 guild_id=812292969183969301>,[],[<User id=938770135194427402 name='tbfosca' discriminator='6540' bot=False>],1011571648945721434,[]
