content,created_at,author,reference
We're just submitting a PDF,2022-08-21 22:36:46.548000+00:00,EllieDeSota,
Nearly done with the rewrite,2022-08-21 22:36:36.941000+00:00,finn,
As far as I know - yes.,2022-08-21 22:36:36.176000+00:00,EllieDeSota,<MessageReference message_id=1011030390879830097 channel_id=1002291205025050724 guild_id=977651180308160512>
Yep - go for it. Helping my aunt fix up her house today,2022-08-21 22:36:25.022000+00:00,EllieDeSota,<MessageReference message_id=1011026286648492042 channel_id=1002291205025050724 guild_id=977651180308160512>
"Questions:
- Can we include images in our application?",2022-08-21 21:53:49.222000+00:00,finn,
Rewriting emerging ventures now,2022-08-21 21:50:08.008000+00:00,finn,
"<@694931462763446363> want to go through it together, or alternatively do I have permission to make a copy of the grant and write v3?",2022-08-21 21:37:30.697000+00:00,finn,
Reviewed Emerging Ventures grant and added comments,2022-08-21 21:37:11.297000+00:00,finn,
"Hello, i'm working again!",2022-08-21 21:08:47.425000+00:00,finn,
"talking to a senior PM at salesforce tomorrow, I'll ask him about it",2022-08-21 10:49:22.834000+00:00,finn,
We need some preliminary user interviews to see if this is a problem/workflow,2022-08-21 10:49:10.956000+00:00,finn,
"- Identify how much everyone’s been talking, and what they generally talk about
- Find repeated questions and their answers
- Create semantic search for Discord conversations
- Find the topics that are most commonly talked about
- Sort all links/embeds/etc. into groups for the chat history and allow easy search
- Build a knowledge graph on top of the conversation (?)
- Create pre-defined important categories like “product strategy” and “team dynamics” and find discussions associated with them
    
    **Important Categories**
    
    - Product Ideas
    - Team Dynamics and Systems
    - Product Strategy
    - Bugs and Issues
- Export to document hub like Notion or Heptabase
- Find answers to technical problems",2022-08-21 10:48:54.351000+00:00,finn,
And a list of some of the cool stuff we could do with processing discord messages:,2022-08-21 10:48:51.492000+00:00,finn,
here's my up to date notebook,2022-08-21 10:48:29.746000+00:00,finn,
,2022-08-21 10:48:23.187000+00:00,finn,
Will continue work tomorrow morning,2022-08-21 10:48:11.963000+00:00,finn,
https://github.com/boudinfl/pke/blob/master/results.md,2022-08-21 10:43:54.057000+00:00,finn,
even with default settings,2022-08-21 10:36:00.003000+00:00,finn,
yake is much much better,2022-08-21 10:35:49.944000+00:00,finn,
,2022-08-21 10:35:44.178000+00:00,finn,
our conversations are enthralling,2022-08-21 10:31:52.964000+00:00,finn,
,2022-08-21 10:31:51.351000+00:00,finn,
Looks like we need to chat about something a lot XD,2022-08-21 09:48:34.034000+00:00,EllieDeSota,
,2022-08-21 09:29:09.289000+00:00,finn,
Oh noo. Happy rest bro,2022-08-21 01:59:35.364000+00:00,EllieDeSota,<MessageReference message_id=1010728431060779091 channel_id=1002291205025050724 guild_id=977651180308160512>
"So I have a bad migraine, I'll talk to you tomorrow",2022-08-21 01:53:56.391000+00:00,andrepology,
"yeah, this is definitely related",2022-08-21 00:02:00.195000+00:00,finn,
"(They're not integrated to discord/slack I don't think, but they do self-organize notes and other stuff so could be interesting)",2022-08-21 00:01:40.414000+00:00,EllieDeSota,
Also - this seems related to your aggregation ideas -> https://get.mem.ai/,2022-08-21 00:01:14.346000+00:00,EllieDeSota,
"Yay, sounds good",2022-08-20 23:59:15.430000+00:00,finn,
Yah should! Somewhere around then I'll have my checkout appointment but otherwise chillin I think,2022-08-20 23:59:06.236000+00:00,EllieDeSota,
"GG <@752493639174717492>, you just advanced to level 9!",2022-08-20 23:58:41.331000+00:00,MEE6,
<@694931462763446363> does a couple of hours when andre's back work for you?,2022-08-20 23:58:40.639000+00:00,finn,
I'm out with family but I can in a couple hours,2022-08-20 23:58:21.323000+00:00,andrepology,
Im free - don't have much context but can chat!,2022-08-20 23:58:02.377000+00:00,EllieDeSota,
anyone want to talk about product strategy? trying to figure out what to devote my time to,2022-08-20 23:49:09.218000+00:00,finn,
it's related to what we might want to do with Skepsi: extract standardisable metadata from academic comments on papers,2022-08-20 22:30:39.793000+00:00,finn,
"which is obviously applicable for things like Discord channels, but is also generally relevant for the incredibly general category of ""text conversations on the internet""",2022-08-20 22:30:34.650000+00:00,finn,
was thinking maybe a general direction is imposing a layer of structure on unstructured knowledge,2022-08-20 22:30:32.853000+00:00,finn,
^ Here's a smaller subset of that problem that is aligned with a specific workflow,2022-08-20 22:20:29.320000+00:00,finn,
"**Specific Workflow Problem**
When employees have a question about their job, they often ask it on social platforms like Slack or Discord, where it’s quickly lost. Searching for these questions is difficult and rarely done, because channel search is basic and there are so many messages that looking through chat history is impossible.

We can use AI to identify question & answer threads in chat history, turning a Discord or Slack channel into a responsive documentation hub.",2022-08-20 22:20:12.943000+00:00,finn,
^ Here's one potential problem that we could tackle,2022-08-20 22:14:00.038000+00:00,finn,
"**Problem Overview**
Teams and companies need to track and document their progress to work effectively. A lot of these discussions happen on social platforms like Discord and Slack, because they involve far less friction than writing up and reading documentation.

These applications make it nearly impossible to surface, search, categorise and reflect on the insights captured in these conversations because of their structure and lack of metadata.

We can use AI to search and categorise conversations on social applications, turning unstructured knowledge into structured knowledge.",2022-08-20 22:13:48.837000+00:00,finn,
"okey dokie, starting work now",2022-08-20 22:00:17.592000+00:00,finn,
And finally - I'm going to spend some time today a) reflecting on what I learned over the summer + team process stuff b) collecting resources for 'middle-cases' c) writing up my roote stuff on creating a user-oriented design process and finding ways to improve that for next time. Let me know if there is something else I should pressingly be putting my time into/that yall want feedback on.,2022-08-20 20:10:00.669000+00:00,EllieDeSota,
Also - let me know EV last thoughts. I would love to submit on Monday.,2022-08-20 20:03:45.019000+00:00,EllieDeSota,
"Also - two ways we could frame working with Protocol Labs -> a) IPFS integration. We're creating semantic search for decentralized file structures. or b) Algorithm improvements and implementation with this nice add on of IPFS as where we're getting the data instead of getting it from centralized shit. I'm leaning more towards b - bc we've already got documentation and very clear next steps for it however, either way for the protocol labs stuff IPFS will/should be a significant part of our point/proposal. Let me know initial input etc.",2022-08-20 20:02:24.172000+00:00,EllieDeSota,
Also - thank you thank you for putting all the responses into a further document 🙂,2022-08-20 19:46:22.873000+00:00,EllieDeSota,
Aight - finished what I'm good with as a final draft of the email to Silvia. Will schedule to send Monday morning. I sent it to yall in email so you could see the format etc. It's also copy pasted in the updated updated response in notion for notes. Think it's kinda lit - thank you guys for being so onboard with writing such massively detailed techincal notes and replies!!,2022-08-20 19:39:10.267000+00:00,EllieDeSota,
will do more thinking about the data science and problem space tomorrow,2022-08-20 10:42:49.260000+00:00,finn,
"Discord uses OAuth to standardise APIs, so we could potentially build this out as a web application in addition to a bot",2022-08-20 10:42:34.269000+00:00,finn,
"and short-answer is: very much possible, both as a bot, and as an application",2022-08-20 10:42:10.801000+00:00,finn,
Was researching Discord API to make sure it was possible technically before committing to a write-up and conceptual outline,2022-08-20 10:41:55.980000+00:00,finn,
"Okay, passing out from exhaustion so going to go to bed",2022-08-20 10:41:28.467000+00:00,finn,
https://discord.com/developers/docs/topics/oauth2#bots,2022-08-20 10:41:18.372000+00:00,finn,
Ok this is a stupid book I take it back,2022-08-20 02:39:36.453000+00:00,andrepology,
Sending on telegram,2022-08-20 02:12:52.851000+00:00,andrepology,
Oh okay not allowed,2022-08-20 02:12:34.333000+00:00,andrepology,
"Also just bought this book <@694931462763446363> <@752493639174717492> 

Will be helpful as we wander these spaces. But also reconciling systems and products",2022-08-20 02:11:57.606000+00:00,andrepology,
"Still at lunch, but I’ll text you as soon as I get home",2022-08-20 01:47:27.962000+00:00,finn,
Ok I'm back home <@752493639174717492>,2022-08-20 01:23:15.596000+00:00,andrepology,
https://meet.google.com/ecv-dube-qzp,2022-08-19 23:20:47.875000+00:00,andrepology,
Meet or Zoom,2022-08-19 23:20:32.500000+00:00,finn,
Free now,2022-08-19 23:20:25.635000+00:00,finn,
"Sorry vach, family called",2022-08-19 23:20:22.963000+00:00,finn,
and this is querying for the same number of papers,2022-08-19 23:16:33.032000+00:00,andrepology,
Hope this is clearer.,2022-08-19 23:14:26.120000+00:00,andrepology,
"> Or in a less - grr bad scientist - way you've done the research and if you had found the similar things you wouldn't have done it. 

I have literally no idea what this means lol xD. Please rephrase. 

> how are you calculating distance? (and is it based on semantic spaces bc If so then isn't the semantic embeddings inherently going to be better bc that's what you're comparing against? Not sure on this tho)

Distance is Euclidean, which is the intuitive, ""how far apart are these two points"" measure. I didn't want to measure cosine because it can be more compressive because the domain is [-1, 1]. 
You calculate distances between vectors, so it's necessarily with embedding vectors and therefore semantic spaces. I don't know what you mean by ""inherently going to be better"".",2022-08-19 23:04:17.526000+00:00,andrepology,
"> is it bc citations are inherently biases towards showing stuff that actually isn't that similar to your own work? (otherwise you can't justify it). 

Going to give this reexplanation my best shot. This was an experiment to test the hypothesis that ""Cited papers are closer in meaning to nearest neighbours"", and we use embeddings to capture meaning and Euclidean distance to measure closeness. 

This is confirmed, in a sense, if cited papers are much closer (the blue distribution is narrower and closer to the left) to the source paper and closer on average to nearest neighbours, especially since our database is so sparse: I thought we'd find that the nearest neighbors in our database are realllly far apart. 

This is falsified, however, with this result: citations are in fact further and more dispersed than nearest neighbours in our tiny database.  

What this tells us (in as many versions as I can think of): 
+ recommendation systems that use the citation graph to find similar papers are flawed, and skip a lot of papers close in meaning we would find otherwise with semantic spaces. 
+ semantic spaces are a superset of the citation graph
+ it takes much longer walks through citation graphs to find papers close in meaning

^ The last thing might be worthwhile testing. How many networks of networks do you have to traverse to get to the closest paper in meaning that you would otherwise find with a simple nearest neighbor operation with semantic spaces?",2022-08-19 23:03:59.791000+00:00,andrepology,
Noooooooo,2022-08-19 22:57:42.892000+00:00,finn,
Ok in that time I'll respond to Ellie,2022-08-19 22:51:52.277000+00:00,andrepology,
Give me five mins to finish breakfast,2022-08-19 22:50:56.581000+00:00,finn,
"Yeah, let’s do it",2022-08-19 22:50:48.897000+00:00,finn,
<@752493639174717492> protocol labs?,2022-08-19 22:50:27.765000+00:00,andrepology,
Maybe a little less but yeah,2022-08-19 22:49:59.924000+00:00,andrepology,
Also I found a place to work for a couple hours,2022-08-19 22:49:51.857000+00:00,andrepology,
And recommendation as walks on the  social-content graph,2022-08-19 22:49:38.294000+00:00,andrepology,
Agreed,2022-08-19 22:48:11.763000+00:00,finn,
"I see citation/social graphs as being great for known unknowns, and embeddings being great for unknown unknowns",2022-08-19 22:47:24.217000+00:00,andrepology,
,2022-08-19 22:46:55.783000+00:00,andrepology,
We’d have to rely on APIs for citation mining until at a massive scale,2022-08-19 22:46:38.141000+00:00,finn,
Check this out,2022-08-19 22:46:04.245000+00:00,andrepology,
Getting this data structure right is the holy grail of any information curation project,2022-08-19 22:45:58.097000+00:00,andrepology,<MessageReference message_id=1010318647945867385 channel_id=1002291205025050724 guild_id=977651180308160512>
"For AP, I see this potentially working at an interface level: traversal through both citation networks and semantic recommendation",2022-08-19 22:45:36.483000+00:00,finn,
"On that note, ideally what we want is a hybrid between the two: social for people/interests over time, semantic for recommendation. This social-content graph is what I'm building for Tweetscape right now",2022-08-19 22:43:17.721000+00:00,andrepology,<MessageReference message_id=1010317138302619780 channel_id=1002291205025050724 guild_id=977651180308160512>
"Okay, that's what I meant by I felt misrepresented: I'm not outright rejecting citation graphs. I'm saying that as measures of semantic similarity they're flawed, but they're also widespread despite it.",2022-08-19 22:41:14.518000+00:00,andrepology,<MessageReference message_id=1010317138302619780 channel_id=1002291205025050724 guild_id=977651180308160512>
"The purpose of a social/citation graph is not always to approximate semantic similarity, and it’s limiting to see them only from that perspective",2022-08-19 22:41:01.143000+00:00,finn,
"I don’t disagree with what you’re saying, the problem is just how general you are in rejecting social/citation/etc. networks in these comments. For certain workflows and contexts, semantic connections are the correct traversal medium, and for others, citation networks are better. I follow some people on Twitter, for example, because I find their perspective interesting, not because they talk about some specific topic or anything. You follow some citation links because you care about the development of an idea or principle over time",2022-08-19 22:39:36.556000+00:00,finn,<MessageReference message_id=1010301457301504021 channel_id=1002291205025050724 guild_id=977651180308160512>
They shouldn't but they do - this is what the article talks about at length,2022-08-19 22:36:46.027000+00:00,andrepology,<MessageReference message_id=1010313771966804040 channel_id=1002291205025050724 guild_id=977651180308160512>
How do citation graphs capture causal relationships? What are causal relationships here?,2022-08-19 22:36:17.137000+00:00,andrepology,<MessageReference message_id=1010313520992239629 channel_id=1002291205025050724 guild_id=977651180308160512>
"It's not, which is why we have an algorithm that samples and traverses the space efficiently",2022-08-19 22:35:57.659000+00:00,andrepology,<MessageReference message_id=1010313311449006130 channel_id=1002291205025050724 guild_id=977651180308160512>
"Another way to think about this is: when you follow someone on Twitter, you're not interested in everything they're saying. You could like what they say about desci but not what they say about sports. But both can be recommended because of the following link. Ie you are inferring semantic similarity from links on a social graph. The article I sent talks about this",2022-08-19 22:35:25.731000+00:00,andrepology,<MessageReference message_id=1010312977095852176 channel_id=1002291205025050724 guild_id=977651180308160512>
So much faster and more nuanced,2022-08-19 22:30:12.845000+00:00,finn,
Voice memo’s are so much better,2022-08-19 22:30:01.923000+00:00,finn,
Give me a bit to get to my aunt's place and I'll respond,2022-08-19 22:29:56.012000+00:00,andrepology,
Ok first of all it's hard to communicate over text but I think I was misunderstood too,2022-08-19 22:29:43.285000+00:00,andrepology,
"We might argue that it’s the best version, but it’s not implicitly true, we would have to justify it",2022-08-19 22:26:59.160000+00:00,finn,
"“Similarity” is a measure of many things, semantic similarity is just one version of it, and not necessarily the best version",2022-08-19 22:26:36.987000+00:00,finn,
"The recommendation engines built on citation graphs don’t (or at least, shouldn’t) suggest that their goal is approximating semantic relationships",2022-08-19 22:26:13.959000+00:00,finn,
You could just as easily argue that citation networks are better because they capture causal and disciplinary relationships,2022-08-19 22:25:14.122000+00:00,finn,
Semantic similarity is not an objective representation of how likely you are to be interested,2022-08-19 22:24:24.163000+00:00,finn,
"I agree with this, but your conclusion is false",2022-08-19 22:23:37.059000+00:00,finn,
"As to question one: there are whole systems of recommendation (algorithms) built around the premise that you can infer a content or interest graph from a citation graph. But this result basically shows thats wrong. What you cite is not very closely related in meaning to your paper, despite the idea that what you cite is what you ""build on"" in your work. So, in a sense this empirically shows that what you cite is not necessarily similar all of the time.",2022-08-19 22:23:04.447000+00:00,andrepology,
Also could you rephrase the second two questions? They don't make much sense to me right now,2022-08-19 22:20:08.029000+00:00,andrepology,<MessageReference message_id=1010309648986939502 channel_id=1002291205025050724 guild_id=977651180308160512>
You can't send voice memos on discord,2022-08-19 22:19:50.922000+00:00,andrepology,
Worse case - you send on telegram?,2022-08-19 22:17:41.684000+00:00,EllieDeSota,
Haven't tried,2022-08-19 22:17:34.768000+00:00,EllieDeSota,
No clue,2022-08-19 22:17:30.076000+00:00,EllieDeSota,
Where is the button,2022-08-19 22:14:58.014000+00:00,finn,
Ye!,2022-08-19 22:12:40.619000+00:00,EllieDeSota,
Frustrating to type everything out,2022-08-19 22:12:18.864000+00:00,finn,
Can I voice memo on discord,2022-08-19 22:12:07.531000+00:00,finn,
Yes,2022-08-19 22:11:50.436000+00:00,finn,
Also! Are either of you guys <@752493639174717492> <@956585029524402226> going to write a brief on IPFS and how were using it for protocol? If not I can write up something brief based on strategy instead of technical bits.,2022-08-19 22:10:53.453000+00:00,EllieDeSota,
Wondering tho - is it bc citations are inherently biases towards showing stuff that actually isn't that similar to your own work? (otherwise you can't justify it). Or in a less - grr bad scientist - way you've done the research and if you had found the similar things you wouldn't have done it. Follow up tho - how are you calculating distance? (and is it based on semantic spaces bc If so then isn't the semantic embeddings inherently going to be better bc that's what you're comparing against? Not sure on this tho),2022-08-19 22:09:50.964000+00:00,EllieDeSota,
Ahhhh this is so cool!!,2022-08-19 22:06:53.518000+00:00,EllieDeSota,
"I started thinking about that a little bit, but needs more work",2022-08-19 21:38:03.166000+00:00,finn,
Very much up for applying semantic spaces in other domains,2022-08-19 21:37:51.933000+00:00,finn,<MessageReference message_id=1010301457301504021 channel_id=1002291205025050724 guild_id=977651180308160512>
"tl;dr social graphs suck. they don't capture meaning well and reinforce biases. semantic spaces are superior and now we can recreate stuff with them at the core. 


^ and I wonder if we can generalise this space to other media that *may* be profitable.",2022-08-19 21:37:17.914000+00:00,andrepology,
"but its also kind of why the results have been so good so far controlling for how tiny the database is: like, I got a good survey of recommendation algorithms on friggin PLOS.",2022-08-19 21:35:58.873000+00:00,andrepology,<MessageReference message_id=1010300549280841771 channel_id=1002291205025050724 guild_id=977651180308160512>
"Completely agree with your last comment, was weird to me how much semantic separation there is between cited papers",2022-08-19 21:33:41.425000+00:00,finn,
"like, I totally expected a much higher overlap of distances between both sets of neighbors (citation vs semantic) 

also, read this <@694931462763446363> <@752493639174717492> : https://www.eugenewei.com/blog/2021/9/29/and-you-will-know-us-by-the-company-we-keep

I really want to frame semantic spaces as a solution to graph design problems outlined here. Its a very neat mental model to communicate the potential of the tech we're working with.",2022-08-19 21:32:53.693000+00:00,andrepology,
I think its interesting because we see this pattern **despite** being so sparse,2022-08-19 21:31:28.689000+00:00,andrepology,<MessageReference message_id=1010299812924620810 channel_id=1002291205025050724 guild_id=977651180308160512>
"I get what you mean though, it’s interesting",2022-08-19 21:30:45.864000+00:00,finn,
It’ll be a very inaccurate measure rn because our paper count is too low and too highly constrained,2022-08-19 21:30:26.878000+00:00,finn,
itd be interesting to riff on that and see how many n-order citation links we need to generate to enclose the same number of semantically close papers ie is the citation graph fully connected?,2022-08-19 21:29:40.189000+00:00,andrepology,<MessageReference message_id=1010299113033715812 channel_id=1002291205025050724 guild_id=977651180308160512>
Type of work you’re doing is really valuable supplement this this scrappier research,2022-08-19 21:29:38.067000+00:00,finn,<MessageReference message_id=1010299113033715812 channel_id=1002291205025050724 guild_id=977651180308160512>
"My most recent document in response to Protocol labs basically argues that initial separation is key, and that reference relationships are the best way to achieve t",2022-08-19 21:29:06.922000+00:00,finn,
I was testing separation implicitly through the number of replicated papers when calling nearest neighbors of references,2022-08-19 21:27:58.997000+00:00,finn,
"This is what the experiment is: 
1. Take a source paper
2. Retrieve its n local citation graph (the papers it cites, the papers that cite it) as embeddings (Blue)
3. Retrieve its n local neighbours in our tiny semantic space (Orange)
4. Calculate the distances between the source papers and its citation-linked papers and neighburs
5. Plot the histograms on same axis

This is a really striking result for two reasons. 

First,  and most important, even in our terribly small database, the nearest neighbours are closer in meaning (mean ~60) than the citation-linked papers (mean ~85, see plot above). As such, this is what confirms the hypothesis that semantic spaces de-bias or enrich or trouce the citation graph: you get much better results that paper-trails just by looking at things closeby in meaning. This is a quantitative reconfirmation of stuff we've seen with user tests // another way of making sense of why it works. The overlap of nearest neighbors and citation graph is also quite small, though this will improve as the database gets richer. 

Second, the wide spread in citation-linked papers (which I think you stumbled upon and called ""separation"" <@752493639174717492> though the experiments weren't well documented) might situate a paper in different contexts. ie you cite something that may not be related directly but could be ""seminal"" ie the ""tipping my hat"" cronyism citations inherent in citation graphs.",2022-08-19 21:26:18.123000+00:00,andrepology,
sharing a striking preliminary result re: semantic spaces being much richer that a citation (sic. social) graph. will write this up in detail for protocol response,2022-08-19 21:03:41.957000+00:00,andrepology,
Ah okay lit!,2022-08-19 15:27:21.736000+00:00,EllieDeSota,<MessageReference message_id=1010067892563349585 channel_id=1002291205025050724 guild_id=977651180308160512>
"This is more in the general area of ""new problems that we can solve that are tangential to academia""",2022-08-19 06:09:11.741000+00:00,finn,
Noted. I'm not asking about search or Abstract Poetry at all though,2022-08-19 06:08:37.988000+00:00,finn,
"Not sure if you already sent this out - but I wouldn't compare with academia. There isn't necessarily a reason why he would know and we already know about academia. I'd revert back to the types of search question we had previously -> What are the different modes of search that you engage in? For the second question - maybe root it i the most time-consuming/repetitive? 'issues' seemed to return null results. And for the final question -> how does your research tie into the work that Google does? (more specific, and avoids the slightly confusing reference to academic search when you've been contrasting it as different than his work, but I think you're trying to get to how his research feeds into google)",2022-08-19 06:07:42.194000+00:00,EllieDeSota,
Perf for me,2022-08-19 04:19:43.569000+00:00,andrepology,
"anyone have any addendums, thoughts, etc. before i do?",2022-08-19 04:19:31.731000+00:00,finn,
This is what i'm sending to Google researcher,2022-08-19 04:19:22.032000+00:00,finn,
"Hello! I’m a classmate of Mark Gacoka and a researcher building tools to support open science. Most recently, I’ve been working on an open-source peer-review collaboration platform and a semantic search engine designed to supplement keyword search. The most recent demo for the search engine is here, if you’re interested!

My team and I are looking to build tools for researchers in industry as well as academia, but most of our network comprises of scientists that don’t have much insight into the workflows of big tech and the problems faced by researchers like you. 

Would you have twenty to thirty minutes to spare at any point to answer some questions about research in industry? Specifically, some of my questions are:
    •    What does a research workflow look like in industry, and how might it differ from research in academia?
    •    What are the biggest issues with your research workflows right now? What tools and would be most helpful to have?
    •    How does academic research tie into the rest of the work that companies like Google do?


 If you have the time for a meeting, this Calendly link should help with scheduling:

Kind regards, Finn",2022-08-19 04:19:14.408000+00:00,finn,
"Hello, quickly:",2022-08-19 04:19:10.374000+00:00,finn,
Yah - I agree. I am excited about collabing on getting our insights and learnings out of this as well and figuring where we go next :)),2022-08-19 04:08:49.634000+00:00,EllieDeSota,
"It's ironic that we nailed the Collab on product thinking but forgot about deep user development with civicdash but didn't nail the product thinking Collab and nailed user development with abstract poetry. 

That said, I want to pause and step back and say: as long as we internalize and formalize this, and because of who the three of us are, we won't make the same mistake again. Which is why I'm so excited for what we do next, but also why it's important to ""make peace"" what has happened :  reflect and be grateful for what happened over 6 weeks, because it'd be tragic to make this kind of mistake when we do get 6 months of time. We are learning from small experiments",2022-08-19 04:05:55.377000+00:00,andrepology,
"Overall,

I'm content. 

I think that it takes some perspective and agreeing that we *did* go in wanting to ""capture imagination"", which auspiciously or inauspiciously means not having a full-blown or fundable or revenue-generating project.

That said, I agree with Ellie in that the critical thing we're missing is not a quorum of user interviews or a user driven framework, but a follow through on translating those insights to product decisions. Unlike civicdash, I felt like I shouldered a lot of the product thinking, which was fraught with bias here because, as you rightly said earlier <@752493639174717492>, I was in love with the idea of generous interface and a new technology that enabled human in the loop. That said, I think in hindsight I wish we collaborated on the design thinking more like we did with civicdash, where I open the diamond and you closed or vice versa. It may or may not have advanced the demo to a product (again, we did go this in a very short amount of time), but I think it goes to show that we did not have a spec that the three of us wrote and agreed on together outlining the concept and vision: what Ellie sent to the Minerva alum was a riff of what I wrote over that weekend in turkey. 

I don't regret it at all. I'm very proud to show it to others, but I think the next time round, whether it's abstract Poetry v2 or something new, I think my biggest learning is to make sure we're as synced on the concept and product as we are on the development. Because in many ways the former is the constraint and the former is scarce. We can pump out extremely high quality demos really quickly and increasingly so. But clear conceptual thinking is harder.",2022-08-19 04:05:52.928000+00:00,andrepology,
understanding IPFS really deeply so that I can talk technically with Protocol Labs,2022-08-19 03:55:46.975000+00:00,finn,
i'll keep on going with my product strategy stuff today,2022-08-19 03:55:32.578000+00:00,finn,
agreed,2022-08-19 03:55:23.137000+00:00,finn,
I'll write up reflections tomorrow and we should continue,2022-08-19 03:55:19.441000+00:00,andrepology,
no crying on the discord,2022-08-19 03:55:13.238000+00:00,finn,
keep it bottled up inside,2022-08-19 03:55:07.858000+00:00,finn,
emotions are for losers,2022-08-19 03:54:53.314000+00:00,finn,
raaaaaaaaa,2022-08-19 03:54:43.662000+00:00,EllieDeSota,
Whaaaa,2022-08-19 03:54:33.755000+00:00,andrepology,
Crying,2022-08-19 03:53:45.858000+00:00,EllieDeSota,
Ellie what are you doing,2022-08-19 03:38:26.192000+00:00,andrepology,
OH SHIT,2022-08-19 03:38:21.057000+00:00,EllieDeSota,
Yeah,2022-08-19 03:38:00.125000+00:00,andrepology,
The Masasson one?,2022-08-19 03:37:37.026000+00:00,EllieDeSota,
soda can still figuring out how zoom works,2022-08-19 03:37:35.193000+00:00,finn,
Zoom,2022-08-19 03:37:20.415000+00:00,andrepology,
Join what tho,2022-08-19 03:36:54.683000+00:00,EllieDeSota,
